Timestamp,What is your background in philosophy,Where in the world did most of your childhood education and upbringing take place? ,I have thoughts,I can see red,I can smell coffee,There is something it is like to see red,There is a property of what it is like to see red,There are phenomenal properties,Consciousness exists,I know what Consciousness is,Consciousness cannot be explained by Science,Consciousness can be explained by Philosophy,It is possible for a Computer to have Consciousness,Consciousness is private (someone else could not know my consciousness) ,I can imagine myself as a bat,I can know what it's like to be a bat,The smell of coffee is a private phenomenal property,I have qualia,It is possible for everything about my body and brain to be the same and for me not to have a mind,I have an intuition that Consciousness exists,There is something in common to all of my sensory experiences,Whether or not I am seeing red is a fact,There is something in common to all of my red experiences,I would describe my views on mind as
11/11/2024 21:09:09,No background,"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Strongly Disagree,Strongly Disagree,Unsure: I understand the question,Unsure: I understand the question,Unsure: I understand the question,Slightly agree,Slightly disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Materialist
11/11/2024 21:10:33,Some formal education in philosophy (high school or otherwise),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Slightly disagree,Slightly disagree,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly agree,Slightly disagree,Strongly agree,Strongly agree,Slightly disagree,Strongly agree,Strongly Disagree,Strongly agree,Strongly agree,Slightly agree,Strongly agree,Materialist
11/11/2024 21:16:59,Some formal education in philosophy (high school or otherwise),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Unsure: I understand the question,Unsure: I understand the question,Strongly agree,Strongly Disagree,Strongly agree,Slightly disagree,Strongly agree,Strongly agree,Strongly Disagree,Strongly Disagree,Slightly agree,Slightly agree,Strongly agree,Strongly agree,Strongly agree,Slightly disagree,Strongly agree,Materialist
11/11/2024 21:16:59,Formal university education in philosophy,"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Slightly disagree,Slightly agree,Slightly disagree,Strongly agree,Strongly agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Strongly agree,Slightly disagree,Slightly agree,Slightly disagree,Materialist
11/11/2024 21:22:39,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Strongly Disagree,Slightly disagree,Slightly disagree,Unsure: I do not understand the question or think it is confused,Strongly Disagree,Unsure: I do not understand the question or think it is confused,Slightly agree,Strongly Disagree,Slightly agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Materialist
11/11/2024 21:30:16,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Unsure: I understand the question,Slightly disagree,Unsure: I do not understand the question or think it is confused,Strongly agree,Strongly Disagree,Slightly disagree,Slightly disagree,Unsure: I understand the question,Unsure: I understand the question,Strongly Disagree,Strongly Disagree,Slightly disagree,Slightly agree,Unsure: I understand the question,Strongly agree,Unsure: I understand the question,Unsure: I understand the question,Slightly disagree,Unsure lean materialist 
11/11/2024 21:32:50,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Unsure: I do not understand the question,Strongly agree,Strongly agree,Strongly agree,Slightly agree,Unsure: I understand the question,Strongly agree,Slightly agree,Strongly Disagree,Strongly agree,Strongly agree,Slightly agree,Strongly agree,Strongly agree,Slightly agree,Strongly agree,Slightly disagree,Strongly agree,Unsure
11/11/2024 21:33:03,I am an academic full-time philosopher,"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Unsure: I understand the question,Slightly disagree,Slightly disagree,Unsure: I understand the question,Slightly disagree,Strongly Disagree,Strongly agree,Strongly agree,Strongly Disagree,Slightly disagree,Slightly agree,Strongly Disagree,Slightly Disagree,Strongly Disagree,Slightly disagree,Unsure: I do not understand the question or think it is confused,Slightly agree,Unsure: I do not understand the question or think it is confused,Materialist
11/11/2024 21:44:30,Some formal education in philosophy (high school or otherwise),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Slightly agree,Strongly Disagree,Slightly agree,Slightly agree,Unsure: I understand the question,Strongly agree,Slightly agree,Strongly Disagree,Strongly agree,Unsure: I understand the question,Slightly disagree,Slightly agree,Strongly agree,Slightly disagree,Unsure: I do not understand the question or think it is confused,Unsure
11/11/2024 21:55:14,Some formal education in philosophy (high school or otherwise),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Slightly agree,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Strongly agree,Slightly disagree,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Slightly disagree,Slightly disagree,Slightly agree,Strongly Disagree,Unsure: I do not understand the question or think it is confused,Strongly agree,Strongly Disagree,Strongly agree,Unsure: I do not understand the question or think it is confused,Slightly agree,Slightly agree,Materialist
11/11/2024 22:01:02,Formal university education in philosophy,"Western World (North America, EU, AUS/NZ)",Unsure: I do not understand the question or think it is confused,Strongly agree,Strongly agree,Strongly Disagree,Strongly Disagree,Slightly agree,Strongly agree,Slightly agree,Strongly Disagree,Strongly Disagree,Strongly agree,Slightly disagree,Strongly Disagree,Strongly Disagree,Slightly agree,Slightly agree,Slightly disagree,Strongly agree,Slightly agree,Unsure: I do not understand the question or think it is confused,Slightly disagree,Materialist
11/11/2024 22:03:30,Some formal education in philosophy (high school or otherwise),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Slightly agree,Slightly disagree,Slightly agree,Strongly agree,Slightly agree,Strongly Disagree,Slightly disagree,Strongly agree,Strongly Disagree,Strongly agree,Slightly disagree,Strongly Disagree,Slightly Disagree,Strongly Disagree,Slightly disagree,Strongly agree,Strongly agree,Strongly agree,Materialist
11/11/2024 22:08:31,Some formal education in philosophy (high school or otherwise),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Unsure: I do not understand the question or think it is confused,Strongly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Unsure: I understand the question,Strongly agree,Unsure: I understand the question,Strongly Disagree,Unsure: I do not understand the question or think it is confused,Slightly agree,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Strongly agree,Strongly agree,Strongly agree,Idealist
11/11/2024 22:17:23,Some formal education in philosophy (high school or otherwise),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Unsure: I understand the question,Unsure: I understand the question,Strongly agree,Slightly agree,Slightly disagree,Slightly agree,Strongly agree,Slightly disagree,Strongly Disagree,Strongly Disagree,Slightly agree,Slightly agree,Strongly Disagree,Slightly disagree,Slightly agree,Strongly agree,Strongly agree,Materialist
11/11/2024 22:17:27,Formal university education in philosophy,"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Unsure: I understand the question,Slightly disagree,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Unsure: I understand the question,Unsure: I understand the question,Unsure: I understand the question,Unsure: I understand the question,Unsure: I understand the question,Unsure: I understand the question,Slightly disagree,Strongly Disagree,Slightly disagree,Slightly disagree,Slightly agree,Unsure
11/11/2024 22:20:16,Formal university education in philosophy,"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Unsure: I understand the question,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Slightly agree,Slightly agree,Strongly Disagree,Strongly agree,Slightly agree,Strongly Disagree,Strongly Disagree,Strongly agree,Strongly Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Dualist
11/11/2024 22:22:32,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Strongly agree,Strongly Disagree,Unsure: I do not understand the question or think it is confused,Strongly agree,Strongly agree,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Strongly agree,Strongly agree,hermeneutic parallelist monism
11/11/2024 22:24:18,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Strongly Disagree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Strongly Disagree,Strongly agree,Slightly agree,Strongly Disagree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Emergent Panpsychism - i.e. IIT
11/11/2024 22:25:09,Formal university education in philosophy,"Western World (North America, EU, AUS/NZ)",Slightly agree,Strongly agree,Strongly agree,Slightly disagree,Strongly Disagree,Strongly Disagree,Slightly agree,Unsure: I understand the question,Slightly agree,Slightly agree,Strongly Disagree,Slightly disagree,Slightly agree,Slightly disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly agree,Slightly agree,Slightly disagree,Slightly agree,Transcendent Naturalist
11/11/2024 22:25:46,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Strongly Disagree,Strongly Disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Strongly agree,Strongly Disagree,Strongly Disagree,Slightly agree,Slightly agree,Strongly Disagree,Slightly agree,Strongly Disagree,Monist
11/11/2024 22:26:05,Some formal education in philosophy (high school or otherwise),"Western World (North America, EU, AUS/NZ)",Slightly agree,Slightly agree,Slightly agree,Unsure: I do not understand the question,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Unsure: I understand the question,Strongly Disagree,Strongly Disagree,Slightly disagree,Slightly agree,Strongly Disagree,Slightly agree,Slightly agree,Strongly Disagree,Strongly Disagree,Unsure: I do not understand the question or think it is confused,Slightly agree,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,
11/11/2024 22:26:33,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Slightly agree,Strongly agree,Strongly agree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Strongly agree,Slightly agree,Strongly agree,Strongly agree,Confused
11/11/2024 22:26:56,Formal university education in philosophy,"Western World (North America, EU, AUS/NZ)",Strongly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Strongly agree,Strongly Disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Strongly Disagree,Strongly Disagree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Monist
11/11/2024 22:29:11,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Slightly disagree,Strongly Disagree,Strongly agree,Unsure: I understand the question,Slightly disagree,Slightly agree,Slightly agree,,Unsure: I do not understand the question or think it is confused,Strongly Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Materialist
11/11/2024 22:33:13,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Unsure: I understand the question,Slightly disagree,Unsure: I understand the question,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Strongly Disagree,Slightly agree,Strongly Disagree,Slightly agree,Strongly agree,Slightly agree,Strongly Disagree,Strongly agree,Materialist
11/11/2024 22:39:10,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Slightly agree,Slightly disagree,Slightly disagree,Strongly agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Strongly Disagree,Strongly Disagree,Slightly agree,Slightly agree,Strongly Disagree,Slightly agree,Unsure: I do not understand the question or think it is confused,Strongly agree,Unsure: I do not understand the question or think it is confused,physicalist
11/11/2024 22:40:28,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Strongly agree,Slightly agree,Slightly agree,Strongly agree,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Strongly agree,Strongly Disagree,Slightly agree,Slightly disagree,Strongly Disagree,Slightly disagree,Slightly disagree,Strongly Disagree,Slightly agree,Strongly agree,Unsure: I understand the question,Strongly agree,Slightly disagree,Slightly agree,Strongly agree,Unsure
11/11/2024 22:42:25,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Strongly agree,Slightly agree,Strongly agree,Unsure: I do not understand the question,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Strongly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Unsure: I understand the question,Strongly agree,Unsure: I understand the question,Strongly agree,Strongly agree,Slightly agree,Slightly agree,Idealist
11/11/2024 22:52:05,I am an academic full-time philosopher,"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Idealist
11/11/2024 22:56:59,Formal university education in philosophy,Asia,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Slightly disagree,Slightly disagree,Strongly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Strongly agree,Strongly agree,Slightly agree,Strongly agree,Nondualist
11/11/2024 22:59:21,Formal university education in philosophy,"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Strongly agree,Strongly Disagree,Slightly agree,Strongly agree,Strongly agree,Slightly agree,Slightly agree,Strongly agree,Slightly disagree,Materialist
11/11/2024 23:04:20,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Strongly agree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly agree,Strongly Disagree,Slightly agree,Strongly Disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly agree,Unsure: I understand the question,Strongly agree,Strongly agree,Materialist
11/11/2024 23:08:53,Formal university education in philosophy,"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Unsure: I understand the question,Unsure: I understand the question,Unsure: I understand the question,Slightly agree,Slightly agree,Slightly agree,Strongly Disagree,Slightly agree,Strongly agree,Strongly Disagree,Strongly agree,Unsure: I do not understand the question or think it is confused,Strongly agree,Slightly agree,Monist
11/11/2024 23:18:47,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Slightly agree,Slightly disagree,Unsure: I do not understand the question or think it is confused,Slightly agree,Slightly agree,Strongly Disagree,Strongly Disagree,Slightly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Materialist
11/11/2024 23:29:49,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Unsure: I understand the question,Strongly Disagree,Slightly agree,Slightly agree,Strongly Disagree,Strongly agree,Unsure: I understand the question,Strongly agree,Unsure: I understand the question,Strongly agree,Strongly agree,Dualist
11/11/2024 23:47:17,Formal university education in philosophy,"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Unsure: I do not understand the question or think it is confused,Unsure: I understand the question,Strongly agree,Strongly Disagree,Unsure: I understand the question,Unsure: I understand the question,Slightly agree,Strongly agree,Strongly agree,Strongly Disagree,Unsure: I do not understand the question or think it is confused,Unsure: I understand the question,Unsure: I understand the question,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,I think they are all interesting but I don’t know which is true. 
11/11/2024 23:49:28,Some formal education in philosophy (high school or otherwise),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Slightly agree,Slightly agree,Unsure: I understand the question,Strongly agree,Strongly agree,Slightly disagree,Slightly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Dualist
11/12/2024 0:01:36,Formal university education in philosophy,"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Slightly disagree,Unsure: I understand the question,Slightly agree,Slightly agree,Strongly Disagree,Slightly disagree,Strongly agree,Unsure: I understand the question,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Unsure
11/12/2024 0:21:55,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Slightly disagree,Slightly agree,Strongly agree,Unsure: I understand the question,Strongly Disagree,Strongly agree,Slightly disagree,Slightly disagree,Strongly agree,Unsure: I understand the question,Strongly agree,Unsure: I do not understand the question or think it is confused,Strongly agree,Strongly agree,Unsure
11/12/2024 0:28:05,Formal university education in philosophy,"Western World (North America, EU, AUS/NZ)",Slightly disagree,Strongly agree,Strongly agree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Strongly Disagree,Slightly agree,Strongly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Strongly agree,Strongly Disagree,Strongly agree,Slightly disagree,Slightly agree,Strongly agree,Memetic (Susan Blackmore-inspired)
11/12/2024 0:37:00,Formal university education in philosophy,"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Slightly disagree,Slightly disagree,Strongly agree,Unsure: I understand the question,Strongly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Slightly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Unsure: I do not understand the question or think it is confused,Strongly agree,Strongly agree,Dualist
11/12/2024 0:38:23,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly Disagree,Unsure: I do not understand the question or think it is confused,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly Disagree,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Strongly Disagree,Strongly Disagree,Strongly agree,Strongly agree,Unsure: I understand the question,Materialist
11/12/2024 0:39:23,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Slightly agree,Slightly agree,Strongly agree,Unsure: I understand the question,Slightly disagree,Slightly disagree,Slightly agree,Slightly disagree,Slightly disagree,Strongly Disagree,Slightly agree,Slightly agree,Strongly Disagree,Slightly agree,Slightly disagree,Unsure: I do not understand the question or think it is confused,Slightly agree,Materialist
11/12/2024 0:59:48,Formal university education in philosophy,South America,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Unsure: I do not understand the question or think it is confused,Unsure: I understand the question,Strongly agree,Strongly Disagree,Slightly disagree,Unsure: I understand the question,Slightly agree,Strongly Disagree,Slightly disagree,Slightly disagree,Slightly agree,Unsure: I understand the question,Strongly Disagree,Strongly agree,Slightly agree,Slightly agree,Unsure: I understand the question,Materialist
11/12/2024 1:03:48,Some formal education in philosophy (high school or otherwise),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Slightly agree,Slightly agree,Slightly agree,Unsure: I understand the question,Unsure: I understand the question,Unsure: I understand the question,Unsure: I understand the question,Unsure: I understand the question,Unsure: I understand the question,Slightly agree,Strongly Disagree,Slightly agree,Unsure: I understand the question,Unsure: I understand the question,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Unsure
11/12/2024 1:19:38,Formal university education in philosophy,"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Slightly agree,Strongly Disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Strongly agree,Strongly agree,Slightly agree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Unsure
11/12/2024 1:32:39,Formal university education in philosophy,"Western World (North America, EU, AUS/NZ)",Strongly agree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Strongly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Strongly Disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Monist
11/12/2024 1:42:52,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Unsure: I do not understand the question,Strongly agree,Unsure: I do not understand the question or think it is confused,Strongly agree,Unsure: I understand the question,Unsure: I do not understand the question or think it is confused,Unsure: I understand the question,Unsure: I understand the question,Unsure: I understand the question,Strongly agree,Strongly Disagree,Slightly agree,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Strongly agree,Unsure: I do not understand the question or think it is confused,Unsure: I do not understand the question or think it is confused,Materialist
11/12/2024 1:56:45,I am an academic full-time philosopher,"Western World (North America, EU, AUS/NZ)",Strongly agree,Slightly agree,Slightly agree,Strongly agree,Slightly disagree,Slightly disagree,Strongly agree,Strongly Disagree,Slightly disagree,Slightly agree,Strongly agree,Slightly disagree,Strongly Disagree,Strongly Disagree,Slightly disagree,Strongly agree,Strongly Disagree,Strongly agree,Slightly agree,Slightly agree,Strongly agree,Physicalist panprotopsychism
11/12/2024 2:26:30,Formal university education in philosophy,"Western World (North America, EU, AUS/NZ)",Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Materialist
11/12/2024 2:32:49,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Strongly agree,Strongly agree,Strongly Disagree,Slightly disagree,Slightly agree,Slightly disagree,Unsure: I understand the question,Slightly agree,Strongly agree,Slightly agree,Materialist
11/12/2024 2:55:33,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Slightly agree,Slightly disagree,Strongly agree,Slightly disagree,Slightly disagree,Slightly disagree,Strongly Disagree,Slightly agree,Strongly Disagree,Strongly agree,Strongly Disagree,Slightly agree,Strongly agree,Unsure: I understand the question,Strongly Disagree,Slightly agree,Slightly disagree,Slightly agree,Materialist
11/12/2024 3:06:21,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Strongly Disagree,Strongly agree,Slightly agree,Slightly disagree,Slightly agree,Materialist
11/12/2024 3:12:46,Formal university education in philosophy,"Western World (North America, EU, AUS/NZ)",Unsure: I do not understand the question or think it is confused,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Disagree,Unsure: I do not understand the question or think it is confused,Strongly Disagree,Unsure: I understand the question,Slightly disagree,Strongly agree,Strongly Disagree,Slightly disagree,Slightly Disagree,Strongly Disagree,Strongly agree,Strongly agree,Slightly disagree,Strongly agree,Monist
11/12/2024 3:31:21,Some formal education in philosophy (high school or otherwise),Asia,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Strongly Disagree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Slightly agree,Unsure
11/12/2024 3:44:08,No background,"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Unsure: I understand the question,Unsure: I understand the question,Unsure: I do not understand the question or think it is confused,Slightly agree,Strongly Disagree,Unsure: I understand the question,Slightly disagree,Unsure: I understand the question,Slightly agree,Slightly disagree,Slightly agree,Unsure: I do not understand the question or think it is confused,Slightly Disagree,Unsure: I do not understand the question or think it is confused,Slightly agree,Unsure: I understand the question,Slightly agree,Slightly disagree,Unsure
11/12/2024 4:12:41,No background,"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Slightly agree,Slightly agree,Unsure: I do not understand the question or think it is confused,Strongly agree,Slightly disagree,Slightly agree,Unsure: I understand the question,Slightly agree,Slightly disagree,Strongly agree,Slightly disagree,Slightly disagree,Unsure: I do not understand the question or think it is confused,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Unsure
11/12/2024 4:31:18,,,,,,,,,,,,,,,,,,,,,,,,
11/12/2024 6:41:22,Personal Interest (I read philosophy books and listen to philosophy podcasts),"Western World (North America, EU, AUS/NZ)",Strongly agree,Strongly agree,Strongly agree,Slightly disagree,Strongly Disagree,Slightly agree,Slightly disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Slightly agree,Strongly Disagree,Slightly agree,Strongly Disagree,Strongly Disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Slightly agree,Strongly Disagree,Strongly agree,Materialist
